(0.0005133048316583881, (0.0002064929289753734+0j)) (0.061334941356442865, (0.06373775695433595+0j)) (-0.060821638137102126, (0.06366307357880571+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (-0.0011922559794038535, (0.011474922842326294+0j)) (0.0017055610362440349, (0.011462459036612225+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0007492225264868466, (0.0024340053763443744+0j)) (-0.00023591772932559252, (0.0025109113505647714+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.004863744716800284, (0.0032777944176359984+0j)) (-0.004350439860485494, (0.0032123637508994357+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0009818859922816046, (0.002096244588924266+0j)) (-0.00046858121990226207, (0.0020249230207735427+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0010709923390531913, (0.001219680970338088+0j)) (-0.0005576874623075128, (0.0012282361992460083+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0004857236795069184, (8.627716293783064e-05+0j)) (2.758115399046801e-05, (0.0001803842765566148+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (0.0, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (5.4030565692346964e-39, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (4.087396343598685e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-6.514886550498448e-35, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (2.068318952634782e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-6.518288254761003e-38, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-3.494569605913207e-37, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-1.2720280993062548e-35, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (5.3748364878810264e-39, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (3.5727277349121808e-37, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-1.4951153428808688e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-2.594905994612812e-38, 0j)
