(0.0005133048316583881, (0.0002064929289753734+0j)) (-0.0003902047236915678, (0.0381257881066797+0j)) (0.0009035102725028992, (0.038052756964331004+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (-0.008072940002253745, (0.008576070591345557+0j)) (0.008586244723759592, (0.008598002261525593+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (-0.006091019279556349, (0.004045976284101621+0j)) (0.006604324295185506, (0.004131210406656001+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (-0.005452640495233936, (0.00265933857160817+0j)) (0.005965945339761675, (0.0027871562642266014+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.00042328499717405064, (0.000315390433092209+0j)) (9.001983447524253e-05, (0.0002313253790540557+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005104495223604318, (0.00012033979611499038+0j)) (2.8553114971145986e-06, (0.00010759447867684203+0j))
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (0.0, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (3.18145841622704e-39, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (8.113665152854265e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (2.2764652227740348e-35, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-7.605378860554631e-32, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (7.558318487541215e-37, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (8.221386683171481e-38, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-6.310024999580363e-35, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-5.278171673283618e-38, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (5.3336108395084967e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (4.8133363740272056e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (1.5988722716920395e-36, 0j)
(0.0005133048316583881, (0.0002064929289753734+0j)) (0.0005133048316583881, (0.0002064929289753734+0j)) (-4.237261300767031e-36, 0j)
