(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-0.04848321414948441, (0.02795631520177086+0j)) (0.048541269406676295, (0.027951315877045878+0j))
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-0.002306625247816555, (0.006290439915733067+0j)) (0.0023646805733442307, (0.006294982542097058+0j))
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-0.0006894168220824213, (0.00023077435979545444+0j)) (0.0007474720845930278, (0.00023274200028255477+0j))
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (2.984745005960576e-06, (0.00010009833802533442+0j)) (5.507050355663523e-05, (8.583540241906368e-05+0j))
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (0.0, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (0.0, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (1.487317372861667e-33, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (4.68078610835004e-33, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (1.9706378137301533e-32, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-2.5313781207479805e-33, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-1.1583836317077916e-33, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (4.179652476175616e-34, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-3.793100951069523e-32, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (4.2294839018300924e-36, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-3.0430776894967363e-35, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-1.6859762825538823e-35, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-1.0760188632109513e-34, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-1.1816801172068607e-37, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (3.9696520422031866e-37, 0j)
(5.805525041989412e-05, (2.9833862057892146e-05+0j)) (5.805525041989412e-05, (2.9833862057892146e-05+0j)) (-4.113162716465806e-38, 0j)
