(0.00010682369838459065, (5.331141852812582e-05+0j)) (9.927850447093079e-05, (5.324222396916108e-05+0j)) (7.545194428530522e-06, (6.388758129178201e-06+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (9.935347855753207e-05, (5.323940131956884e-05+0j)) (7.470221826224588e-06, (6.326399179145226e-06+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010380170946154976, (5.3191860288796234e-05+0j)) (3.021987959073158e-06, (2.5600596800781863e-06+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010835798117568629, (5.341893689833795e-05+0j)) (-1.5342821297963382e-06, (1.3004322297905604e-06+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010684024133693981, (5.3312409626999496e-05+0j)) (-1.6543610001917842e-08, (1.4034361717334492e-08+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682379765807432, (5.331141852812582e-05+0j)) (-9.763572050847102e-11, (8.294608039672544e-11+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682370319122297, (5.331141456373032e-05+0j)) (-4.6949383686323286e-12, (3.997974628830734e-12+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838446998, (5.331141852812582e-05+0j)) (-2.54749081326903e-15, (2.1776945636513406e-15+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (-7.934844758450818e-21, (6.825919192133053e-21+0j))
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (-2.6158028472360116e-30, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (7.531292609498373e-43, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (0.0, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (0.0, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (0.0, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (0.0, 0j)
(0.00010682369838459065, (5.331141852812582e-05+0j)) (0.00010682369838459065, (5.331141852812582e-05+0j)) (0.0, 0j)
